movieID,counts
2571,1670
4993,1576
356,1568
296,1537
5952,1528
2858,1472
7153,1457
480,1448
318,1441
2959,1434
593,1431
4306,1404
2762,1395
1270,1378
260,1365
780,1334
1580,1332
6539,1322
4226,1320
3578,1316
1196,1306
1198,1304
589,1270
1,1263
1721,1263
1210,1255
6874,1255
110,1237
5445,1236
2028,1232
50,1218
6377,1218
5349,1208
47,1206
7361,1202
4963,1187
3996,1178
527,1170
8961,1166
33794,1163
32,1158
1240,1152
1136,1151
7438,1151
3793,1146
4995,1143
377,1141
4973,1137
2628,1134
858,1134
2716,1122
1682,1117
4886,1117
1527,1115
1291,1104
648,1099
608,1094
5418,1080
1265,1080
32587,1079
1097,1072
150,1072
6711,1068
592,1065
1214,1058
367,1057
1036,1056
1089,1052
2997,1052
1923,1051
344,1049
1704,1048
457,1047
6365,1046
500,1045
2683,1034
364,1032
541,1020
1961,1018
597,1011
5989,1009
