userID,movieID,rating,date_day,date_month,date_year,date_hour,date_minute,date_second,realdate,freq
78,111,4.0,16,04,2007,2,25,10,20070416,167
78,5445,3.0,16,04,2007,5,0,17,20070416,265
78,6502,4.0,16,04,2007,4,58,52,20070416,150
78,27904,4.0,16,04,2007,4,58,43,20070416,136
78,34405,4.5,16,04,2007,2,26,2,20070416,134
78,37729,4.0,16,04,2007,5,4,56,20070416,109
78,44191,5.0,22,04,2007,8,35,26,20070422,283
78,44694,2.0,19,05,2007,6,51,41,20070519,134
78,46578,5.0,16,04,2007,2,32,25,20070416,378
78,46976,4.5,16,04,2007,2,29,47,20070416,276
78,48774,4.5,16,04,2007,2,30,18,20070416,411
78,49272,3.0,16,04,2007,2,30,48,20070416,436
78,50872,4.5,02,09,2007,8,9,40,20070902,267
127,7293,3.0,19,09,2007,21,58,16,20070919,106
127,45720,4.5,28,08,2007,3,51,41,20070828,139
127,48385,2.5,28,08,2007,3,41,12,20070828,328
127,51662,4.5,28,08,2007,3,48,41,20070828,439
127,54286,3.5,28,08,2007,3,47,42,20070828,322
170,1222,5.0,01,06,2007,13,56,4,20070601,184
170,2542,4.0,01,06,2007,13,56,25,20070601,133
170,3949,4.5,01,06,2007,13,56,8,20070601,177
170,4011,4.0,01,06,2007,13,56,13,20070601,190
170,6807,4.0,01,06,2007,14,3,34,20070601,109
170,8622,4.0,01,06,2007,14,0,42,20070601,150
170,8874,4.0,01,06,2007,13,57,28,20070601,160
170,44191,4.0,01,06,2007,13,57,42,20070601,283
170,45728,5.0,01,06,2007,13,59,49,20070601,102
175,1690,1.0,19,08,2007,19,7,18,20070819,112
175,3147,5.0,19,08,2007,19,6,20,20070819,181
175,5418,5.0,19,08,2007,19,7,51,20070819,275
175,5995,5.0,19,08,2007,19,10,22,20070819,129
175,8665,5.0,19,08,2007,19,7,55,20070819,209
175,50068,4.0,19,08,2007,19,12,24,20070819,141
175,51540,4.0,21,10,2007,20,8,9,20071021,229
175,54286,5.0,19,08,2007,18,58,46,20070819,322
190,150,4.5,29,06,2007,22,2,54,20070629,217
190,260,5.0,09,10,2007,18,32,4,20071009,306
190,316,3.5,09,10,2007,18,36,37,20071009,152
190,356,4.0,09,10,2007,18,41,5,20071009,377
190,500,2.0,09,10,2007,18,42,26,20071009,224
190,586,2.0,28,11,2007,18,19,3,20071128,224
190,592,1.0,02,07,2007,18,31,38,20070702,229
190,593,0.5,18,10,2007,16,45,51,20071018,322
