userID,movieID,tagID,timestamp
75,353,5290,1.16216E+12
78,4223,5264,1.17669E+12
127,1343,1544,1.18827E+12
127,1343,12330,1.18827E+12
127,2080,1451,1.18827E+12
127,2080,1574,1.18827E+12
127,2953,4121,1.18827E+12
127,2953,11860,1.18827E+12
127,4270,914,1.18827E+12
127,4270,5215,1.18827E+12
127,4447,7,1.18827E+12
127,4447,1996,1.18827E+12
127,4447,2571,1.18827E+12
127,5679,742,1.18827E+12
127,6934,1537,1.18827E+12
127,6934,1538,1.18827E+12
127,6934,9062,1.18827E+12
127,7147,146,1.18827E+12
127,7147,150,1.18827E+12
127,7147,1878,1.18827E+12
127,7147,2596,1.18827E+12
127,7147,13087,1.18827E+12
127,8622,55,1.18827E+12
127,8622,11371,1.18827E+12
127,8622,13086,1.18827E+12
170,47830,93,1.16221E+12
175,2819,11407,1.18844E+12
175,51540,79,1.19299E+12
190,741,712,1.1517E+12
190,1274,712,1.1517E+12
190,2116,410,1.14004E+12
190,2810,712,1.1517E+12
190,3000,712,1.1517E+12
190,3997,410,1.14003E+12
190,4993,410,1.14004E+12
190,5039,410,1.14003E+12
190,5069,712,1.1517E+12
190,5072,712,1.20837E+12
190,5146,712,1.1517E+12
190,5618,712,1.1517E+12
190,5690,712,1.1517E+12
190,5952,410,1.14004E+12
190,5971,712,1.1517E+12
190,6283,712,1.1517E+12
190,6350,712,1.1517E+12
190,6857,712,1.1517E+12
190,7099,712,1.1517E+12
190,7153,410,1.14003E+12
190,8607,712,1.1517E+12
190,26662,712,1.1517E+12
190,27728,712,1.20837E+12
190,31184,712,1.20837E+12
190,31658,712,1.1517E+12
190,31660,712,1.1517E+12
267,6365,186,1.19205E+12
325,628,6331,1.17274E+12
325,30818,5074,1.18566E+12
325,34162,6333,1.14999E+12
325,45720,6333,1.17274E+12
325,51084,876,1.17274E+12
383,6270,280,1.19848E+12
383,6270,669,1.19848E+12
383,27741,7181,1.16175E+12
383,45175,753,1.16175E+12
476,1136,1181,1.13996E+12
477,1188,5609,1.18831E+12
